,imperv_10m,imperv_20m,poll_no2_anmean,lst_temp_r100,lst_temp_r50,height,insolation9
ndvi_peak,-0.7085388341428168,-0.7400563076166171,-0.41179820054160143,0.02233076147591522,0.016526816360887885,0.4054029369136056,-0.042594933306600635
ndvi_base,-0.5085960267374346,-0.6347551219394024,-0.6010612155678963,-0.008651420049071276,-0.010960265382628105,0.19389695434308463,-0.08128682753356248
greenup_doy,0.11282011889835017,0.08556369656298725,-0.07746216379499787,-0.11278707265290291,-0.1096707235989681,0.07791108095398251,-0.03608318414954939
sos_doy,0.1496294990547835,0.12053004798423525,-0.08355030973429368,-0.1171397433919983,-0.11315618851959151,0.02003263236769731,-0.034092137404180156
peak_doy,0.14487048355686322,0.11273570528530978,-0.102172055056615,-0.1110497043136538,-0.10647786298271145,-0.05062032575292885,-0.02979763292863958
sen_onset_doy,0.0821058415637291,0.08391347518458656,0.04197419201603207,-0.006153522544531832,-0.002699470263643935,-0.058901632203338904,0.03178394156398465
eos_doy,0.07542639307444789,0.07872336013106754,0.05517268082012885,9.148321969750966e-05,0.003266887236520651,-0.049164650385259565,0.033781200434175825
dormancy_doy,0.07718870869526892,0.07811595454234523,0.0431172712762058,-0.0050177997915118264,-0.0011855627075076597,-0.0702833216739012,0.03348211313348002
los_days,0.021078576153549917,0.030821341726092265,0.08924539986718845,0.04971344052004928,0.05098218591411616,-0.0700944616611041,0.043347943383445234
amplitude,-0.2622307015378204,-0.16760599875336155,0.13447483885736106,0.04281850674981212,0.03929427816545466,0.26139750871178213,0.032177885114154516
slope_sos_peak,-0.2760463438204074,-0.18553143454092327,0.1356508945535777,0.02256926314355935,0.01912958809427312,0.33911118724445954,0.027018062769995528
senescence_rate,0.0900909471181304,0.03280574928512535,-0.12650717427740288,-0.020990275414261416,-0.01998031133904626,-0.08496001928585595,-0.06124824363431455
auc_above_base_full,-0.3129636497451419,-0.20483020152365095,0.20576611464124708,0.05930792066297062,0.054166985442002644,0.293848524489547,0.056809118255689066
